img_name,label
10000.jpg,sad
10001.jpg,surprise
10002.jpg,happy
10003.jpg,angry
10004.jpg,neutral
10005.jpg,sad
10006.jpg,angry
10007.jpg,angry
10008.jpg,sad
10009.jpg,neutral
10010.jpg,angry
10011.jpg,surprise
10012.jpg,neutral
10013.jpg,surprise
10014.jpg,happy
10015.jpg,surprise
10016.jpg,surprise
10017.jpg,fear
10018.jpg,surprise
10019.jpg,surprise
10020.jpg,sad
10021.jpg,neutral
10022.jpg,happy
10023.jpg,surprise
10024.jpg,fear
10025.jpg,angry
10026.jpg,fear
10027.jpg,happy
10028.jpg,happy
10029.jpg,happy
10030.jpg,sad
10031.jpg,happy
10032.jpg,neutral
10033.jpg,happy
10034.jpg,angry
10035.jpg,happy
10036.jpg,fear
10037.jpg,neutral
10038.jpg,neutral
10039.jpg,happy
10040.jpg,happy
10041.jpg,happy
10042.jpg,fear
10043.jpg,angry
10044.jpg,surprise
10045.jpg,neutral
10046.jpg,surprise
10047.jpg,neutral
10048.jpg,surprise
10049.jpg,sad
10050.jpg,neutral
10051.jpg,sad
10052.jpg,disgust
10053.jpg,happy
10054.jpg,neutral
10055.jpg,neutral
10056.jpg,angry
10057.jpg,surprise
10058.jpg,fear
10059.jpg,surprise
10060.jpg,sad
10061.jpg,sad
10062.jpg,angry
10063.jpg,sad
10064.jpg,surprise
10065.jpg,fear
10066.jpg,neutral
10067.jpg,sad
10068.jpg,neutral
10069.jpg,fear
10070.jpg,fear
10071.jpg,neutral
10072.jpg,happy
10073.jpg,surprise
10074.jpg,happy
10075.jpg,neutral
10076.jpg,angry
10077.jpg,happy
10078.jpg,happy
10079.jpg,sad
10080.jpg,fear
10081.jpg,sad
10082.jpg,surprise
10083.jpg,fear
10084.jpg,disgust
10085.jpg,sad
10086.jpg,happy
10087.jpg,angry
10088.jpg,fear
10089.jpg,happy
10090.jpg,fear
10091.jpg,angry
10092.jpg,angry
10093.jpg,angry
10094.jpg,happy
10095.jpg,sad
10096.jpg,angry
10097.jpg,angry
10098.jpg,neutral
10099.jpg,surprise
10100.jpg,fear
10101.jpg,happy
10102.jpg,angry
10103.jpg,neutral
10104.jpg,surprise
10105.jpg,happy
10106.jpg,sad
10107.jpg,neutral
10108.jpg,angry
10109.jpg,fear
10110.jpg,neutral
10111.jpg,happy
10112.jpg,sad
10113.jpg,neutral
10114.jpg,happy
10115.jpg,neutral
10116.jpg,neutral
10117.jpg,angry
10118.jpg,sad
10119.jpg,neutral
10120.jpg,sad
10121.jpg,surprise
10122.jpg,neutral
10123.jpg,happy
10124.jpg,disgust
10125.jpg,happy
10126.jpg,happy
10127.jpg,neutral
10128.jpg,neutral
10129.jpg,neutral
10130.jpg,angry
10131.jpg,surprise
10132.jpg,sad
10133.jpg,fear
10134.jpg,neutral
10135.jpg,happy
10136.jpg,sad
10137.jpg,neutral
10138.jpg,surprise
10139.jpg,fear
10140.jpg,sad
10141.jpg,sad
10142.jpg,happy
10143.jpg,sad
10144.jpg,sad
10145.jpg,sad
10146.jpg,happy
10147.jpg,happy
10148.jpg,happy
10149.jpg,neutral
10150.jpg,fear
10151.jpg,sad
10152.jpg,angry
10153.jpg,happy
10154.jpg,neutral
10155.jpg,neutral
10156.jpg,fear
10157.jpg,disgust
10158.jpg,happy
10159.jpg,sad
10160.jpg,happy
10161.jpg,surprise
10162.jpg,neutral
10163.jpg,sad
10164.jpg,surprise
10165.jpg,happy
10166.jpg,sad
10167.jpg,happy
10168.jpg,sad
10169.jpg,angry
10170.jpg,fear
10171.jpg,neutral
10172.jpg,happy
10173.jpg,sad
10174.jpg,neutral
10175.jpg,happy
10176.jpg,neutral
10177.jpg,sad
10178.jpg,happy
10179.jpg,fear
10180.jpg,neutral
10181.jpg,neutral
10182.jpg,fear
10183.jpg,angry
10184.jpg,surprise
10185.jpg,neutral
10186.jpg,fear
10187.jpg,sad
10188.jpg,sad
10189.jpg,angry
10190.jpg,happy
10191.jpg,neutral
10192.jpg,happy
10193.jpg,happy
10194.jpg,happy
10195.jpg,neutral
10196.jpg,sad
10197.jpg,fear
10198.jpg,sad
10199.jpg,sad
10200.jpg,neutral
10201.jpg,sad
10202.jpg,happy
10203.jpg,sad
10204.jpg,surprise
10205.jpg,fear
10206.jpg,angry
10207.jpg,fear
10208.jpg,angry
10209.jpg,angry
10210.jpg,neutral
10211.jpg,sad
10212.jpg,neutral
